Storage,Time,Scenario,Dual_discharge,Dual_charge,Dual_energy
H2,410,22,-2.1048865533736768e-7,-40.04029045045773,-4.188683373150664e-9
H2,410,23,-2.1048860275472233e-7,-66.06647526710941,-2.0108120412401227e-8
H2,410,24,-1.0352583703957156e-6,-2.1219862139932758e-7,-4.033084606645044e-9
H2,410,26,-2.1048860283901354e-7,-66.06645623086743,-2.9110800048794237e-9
H2,410,27,-2.1048856359131545e-7,-128.12890108257415,-3.5511152747847442e-9
H2,410,29,-3.602341250865265e-7,-2.1219868410329032e-7,-6.648028637748619e-9
H2,410,30,-8.752833783082128e-7,-2.121986214349182e-7,-4.9591265013746755e-9
H2,410,4,-2.1314581516749355e-7,-3.064486716737534e-6,-1.014681088836301e-8
H2,410,7,-2.1048858122415363e-7,-90.09062682779178,-4.827875128953836e-9
H2,410,8,-8.577698589674795e-7,-2.1477120728417097e-7,-3.3477774998886133e-9
H2,411,11,-2.104885854240623e-7,-84.0845546111822,-3.035380433172678e-9
H2,411,12,-2.1085362506214827e-7,-3.6855909438498517e-7,-3.2343631286620292e-9
H2,411,13,-2.217110540401536e-7,-2.121986840685662e-7,-1.0440637047762296e-8
H2,411,19,-2.144507450574108e-7,-2.152066668589888e-6,-2.7050307581775828e-9
H2,411,1,-5.8671766670582e-7,-2.1219862139290368e-7,-5.130054253877987e-9
H2,411,22,-2.104886108428447e-7,-60.060437928617645,-4.569614165126687e-9
H2,411,23,-2.661091280917167e-7,-2.1219799453585208e-7,-1.339293846547971e-8
H2,411,24,-2.1085299877776252e-7,-2.1085363233547577e-7,-4.033086731597022e-9
H2,411,26,-2.104885903812193e-7,-78.07856041260663,-3.5187403003673227e-9
H2,411,27,-2.1048859605510083e-7,-72.07250741235298,-4.0624721944932355e-9
H2,411,29,-2.1085287986043875e-7,-2.1085359280195954e-7,-6.648024494591156e-9
H2,411,30,-5.302883688970121e-7,-2.1085373508744425e-7,-3.943950410435535e-9
H2,411,4,-2.147944973554869e-7,-3.0684213886540104e-6,-1.3305108580112451e-8
H2,411,7,-2.104886109094956e-7,-60.060423638454324,-5.748307728027394e-9
H2,411,8,-2.5522826832978906e-7,-2.1362445274412366e-7,-3.1274647999428333e-9
H2,412,11,-2.1048861085537444e-7,-60.06040656809776,-3.375296112239294e-9
H2,412,12,-3.455523767167734e-7,-2.1219819043036458e-7,-2.756939262132828e-9
H2,412,13,-2.1048858115142484e-7,-90.09056063526317,-1.5188803310616688e-8
H2,412,19,-2.1599448761339346e-7,-2.243503471716573e-6,-2.9244841300751992e-9
H2,412,1,-2.104885811942881e-7,-90.09067198675525,-6.057354946501177e-9
H2,412,22,-2.104885574487744e-7,-150.15108973977485,-5.915869201503433e-9
H2,412,23,-2.1085359269538797e-7,-5.294375013682306e-7,-1.8304471272361344e-8
H2,412,24,-1.0526637267162875e-6,-2.1219868408387802e-7,-2.845654515677933e-9
H2,412,26,-2.1048862083905956e-7,-54.054389165351786,-4.081770736006247e-9
H2,412,27,-1.2197908258677495e-6,-2.108537432915521e-7,-2.7771447732261344e-9
H2,412,29,-3.7490237339226734e-7,-2.1219873895615888e-7,-4.739712076845319e-9
H2,412,30,-1.1498509287835568e-6,-2.1219873897132797e-7,-2.7335205778287464e-9
H2,412,4,-2.1352590345151705e-7,-2.9049188324901446e-7,-1.6007346636765492e-8
H2,412,7,-2.104885775127153e-7,-96.09667878705014,-8.276271665084915e-9
H2,412,8,-2.1343567873618087e-7,-6.671035459270683e-6,-3.390846172213449e-9
H2,413,11,-2.1048858118910594e-7,-90.09059306038144,-4.057662286751861e-9
H2,413,12,-2.1048863310186597e-7,-48.04832363079739,-2.9740162548089734e-9
H2,413,13,-2.310722201334037e-7,-2.1219862142842443e-7,-1.3194445537448366e-8
H2,413,19,-2.1459654673580777e-7,-2.1028821658129274e-6,-3.3354401005775634e-9
H2,413,1,-4.600675648111049e-7,-2.1219873892746734e-7,-4.171904814219832e-9
H2,413,22,-2.1048857039223277e-7,-110.11080331404871,-7.548160624100077e-9
H2,413,23,-5.86850105805829e-7,-2.1085367483958186e-7,-7.895905373324298e-9
H2,413,24,-2.108537545183572e-7,-2.3553886210689075e-7,-2.8770131135916453e-9
H2,413,26,-2.104885742574872e-7,-102.10273439594218,-5.7194493181649515e-9
H2,413,27,-2.1085288006313247e-7,-2.108535927949838e-7,-2.7771486878008645e-9
H2,413,29,-2.108529985947221e-7,-2.1085363234278863e-7,-4.739712762285755e-9
H2,413,30,-2.1085309374887745e-7,-2.1085366396886986e-7,-2.733524629554383e-9
H2,413,4,-2.1718985678732036e-7,-3.8052570211831807e-7,-1.8540777028106954e-8
H2,413,7,-2.1048863316895945e-7,-48.04834046802746,-1.0613164437865903e-8
H2,413,8,-2.1204401401523435e-7,-1.1617866418297954e-5,-4.103803266731583e-9
H2,414,11,-2.1048861085753268e-7,-60.060407366170764,-4.690395264232313e-9
H2,414,12,-2.104885811878714e-7,-90.0906074065534,-3.4899693357853606e-9
H2,414,13,-2.1085371134643846e-7,-2.5293236399938487e-7,-1.4126430423322055e-8
H2,414,19,-2.1656696009579495e-7,-2.2090992374754813e-6,-3.6357292219259574e-9
H2,414,1,-2.1048858119419026e-7,-90.09067374022278,-4.764026260025222e-9
H2,414,22,-3.520670598660247e-7,-2.1085377068174736e-7,-5.743581009553569e-9
H2,414,23,-2.5079870175308857e-7,-2.1085362506779247e-7,-7.049949958559473e-9
H2,414,24,-2.105175741089343e-7,-122.63925475258758,-3.3202440275400497e-9
H2,414,26,-2.1048864911908113e-7,-42.04230235642111,-6.785814483369667e-9
H2,414,27,-1.3152495684539664e-6,-2.1219846460011712e-7,-1.9733709942830203e-9
