O,T,value
31,1301,0.661690414
31,1302,0.669216653
31,1303,0.653215663
31,1304,0.607748933
31,1305,0.469791946
31,1306,0.550611378
31,1307,0.601624843
31,1308,0.644081077
31,1309,0.661401736
31,1310,0.668608368
31,1311,0.626925377
31,1312,0.613130709
31,1313,0.639565334
31,1314,0.64494711
31,1315,0.626616079
31,1316,0.582180341
31,1317,0.467286636
31,1318,0.426021197
31,1319,0.458935604
31,1320,0.507639648
31,1321,0.555395179
31,1322,0.58603625
31,1323,0.589154999
31,1324,0.558158237
31,1325,0.56751964
31,1326,0.614141081
31,1327,0.604738437
31,1328,0.540038559
31,1329,0.415317786
31,1330,0.401158835
31,1331,0.437181681
31,1332,0.476421222
31,1333,0.519970307
31,1334,0.55533332
31,1335,0.593186176
31,1336,0.595047116
31,1337,0.609810916
31,1338,0.620512609
31,1339,0.598470008
31,1340,0.548068265
31,1341,0.44132369
31,1342,0.523558158
31,1343,0.581396787
31,1344,0.631822587
31,1345,0.671704779
31,1346,0.645184238
31,1347,0.647277151
31,1348,0.642678929
31,1349,0.584998385
31,1350,0.442439739
31,1351,0.515598903
31,1352,0.580571994
31,1353,0.608718065
31,1354,0.644122317
31,1355,0.623265356
31,1356,0.652081572
31,1357,0.644648123
31,1358,0.582503385
31,1359,0.504216756
31,1360,0.434003281
31,1361,0.521991051
31,1362,0.579685341
31,1363,0.628935811
31,1364,0.656741654
31,1365,0.619780605
31,1366,0.638183805
31,1367,0.633018537
31,1368,0.566241211
31,1369,0.439005064
31,1370,0.521764233
31,1371,0.581520506
31,1372,0.601336165
31,1373,0.628574963
31,1374,0.657741716
31,1375,0.612388395
31,1376,0.607872652
31,1377,0.636059962
31,1378,0.640802524
31,1379,0.624389137
31,1380,0.588380037
31,1381,0.504629152
31,1382,0.433075389
31,1383,0.511742994
31,1384,0.567416541
31,1385,0.612264676
31,1386,0.645184238
31,1387,0.680255136
31,1388,0.636822896
31,1389,0.631028723
31,1390,0.635565087
31,1391,0.630667876
31,1392,0.532728829
31,1393,0.439188678
31,1394,0.446481226
31,1395,0.489349857
31,1396,0.520733241
31,1397,0.559416046
31,1398,0.594160464
31,1399,0.629559561
31,1400,0.589459142
31,1401,0.608676825
31,1402,0.610965627
31,1403,0.62034765
31,1404,0.586881663
31,1405,0.538658749
31,1406,0.441238633
31,1407,0.463740025
31,1408,0.509247995
31,1409,0.563993649
31,1410,0.615331876
31,1411,0.576582056
31,1412,0.594985257
31,1413,0.584469142
31,1414,0.528307593
31,1415,0.456956101
31,1416,0.395457451
31,1417,0.43487226
31,1418,0.483225767
31,1419,0.553106378
31,1420,0.608063385
31,1421,0.589892159
31,1422,0.600263934
31,1423,0.590840671
31,1424,0.543229478
31,1425,0.460801699
31,1426,0.40707329
31,1427,0.503185764
31,1428,0.565560756
31,1429,0.614378209
31,1430,0.653488876
