Storage,Time,Scenario,Discharge,Charge,energy_level
H2,174,27,7.616503346791652e-9,1.5087603401527354,126.73583549914201
H2,174,29,0.06638276844692077,1.1559776269700796e-8,153.63099869386622
H2,174,30,4.4433289188035055e-9,1.5087603483951804,32.63991475101818
H2,174,4,0.7069062489544637,1.2843488109483682e-8,87.4135990200318
H2,174,7,3.046572202601029e-8,1.508760280802569,48.58209496268058
H2,174,8,0.22576112563356163,2.1673366420538004e-8,112.67912416681426
H2,175,11,1.3328678977766219e-8,1.5087603253152666,66.53634265272333
H2,175,12,1.3864460164282215,2.0398076810366565e-8,91.4098703170764
H2,175,13,8.88621084466181e-9,1.5087603368546805,75.77382809751661
H2,175,19,1.3330146327555543e-8,1.508760325310588,77.09106735576815
H2,175,1,9.346511961725263e-8,1.5087601170545732,8.449055438869262
H2,175,22,1.5087602610788136,6.595974304223477e-9,118.75308534083129
H2,175,23,1.3328115103979838e-8,1.5087603253167328,106.14373153330851
H2,175,24,0.002125296516513325,1.5053893326237955,49.289906479159185
H2,175,26,1.3512520933452312,1.9903135695899773e-8,1.826791581944752e-5
H2,175,27,1.1847818653785917e-8,1.5087603291618072,136.241025378988
H2,175,29,0.10209724900962076,1.926642998016726e-8,152.51721060377116
H2,175,30,8.88665496778748e-9,1.5087603368534768,41.088972508137196
H2,175,4,0.6248522980412772,7.706122510067474e-9,70.37217279072944
H2,175,7,2.4767408272213596e-8,1.267036051275596,60.99904763473829
H2,175,8,1.7349635884491646e-7,5.777539608375992e-8,112.67912196677307
H2,176,11,2.665717333089561e-8,1.508760290694969,74.98539989287448
H2,176,12,0.841698578742658,4.9538197195325245e-8,80.69734319399791
H2,176,13,0.17127370744621562,7.224476836629297e-9,70.79132032544993
H2,176,19,2.3697513128308563e-8,1.5087602983824917,86.59625684780038
H2,176,1,4.67411501056231e-8,1.5087602384656056,25.347168749941495
H2,176,22,4.0038836773737083e-7,1.4652048079741144e-8,118.75307959905201
H2,176,23,2.1324812855124514e-8,1.508760304545476,116.70505327740294
H2,176,24,0.0032615244811007647,1.50400432462746,58.711763323710294
H2,176,26,1.0865157293152882e-7,6.482071808494923e-8,1.7050525325355544e-5
H2,176,27,7.616432732283699e-9,1.508760340152918,151.02687651861393
H2,176,29,1.5087602639603974,6.018272232127846e-9,103.13960204089749
H2,176,30,4.4433481430464946e-9,1.5087603483951304,57.98708828090163
H2,176,4,1.2652585555132322e-8,1.5087595087517558,79.8773574888232
H2,176,7,0.3153792937754848,2.3117971706193268e-8,52.39779441087286
H2,176,8,0.6104851982839086,2.0397484869972402e-8,93.80957971709144
H2,177,11,0.31631035432454374,2.3117862224650195e-8,66.35875410857902
H2,177,12,1.2842649807011666,2.311747378103373e-8,45.671934872154104
