year,T,PV,Wind,Y
2009,339,0,0.5859,1
2009,340,0,0.5905,1
2009,341,0,0.5959,1
2009,342,0,0.6132,1
2009,343,0,0.629,1
2009,344,0,0.6487,1
2009,345,0.001,0.6692,1
2009,346,0.008,0.6821,1
2009,347,0.021,0.706,1
2009,348,0.029,0.7188,1
2009,349,0.031,0.7328,1
2009,350,0.026,0.7287,1
2009,351,0.014,0.7229,1
2009,352,0.002,0.7248,1
2009,353,0,0.7252,1
2009,354,0,0.7231,1
2009,355,0,0.7169,1
2009,356,0,0.7025,1
2009,357,0,0.6775,1
2009,358,0,0.641,1
2009,359,0,0.5896,1
2009,360,0,0.5364,1
2009,361,0,0.4776,1
2009,362,0,0.4325,1
2009,363,0,0.4113,1
2009,364,0,0.399,1
2009,365,0,0.391,1
2009,366,0,0.3861,1
2009,367,0,0.3845,1
2009,368,0,0.3952,1
2009,369,0.002,0.4032,1
2009,370,0.025,0.4171,1
2009,371,0.059,0.4526,1
2009,372,0.085,0.5074,1
2009,373,0.08,0.5642,1
2009,374,0.056,0.6086,1
2009,375,0.028,0.6305,1
2009,376,0.007,0.6352,1
2009,377,0,0.6251,1
2009,378,0,0.5894,1
2009,379,0,0.5441,1
2009,380,0,0.4838,1
2009,381,0,0.4376,1
2009,382,0,0.4065,1
2009,383,0,0.3994,1
2009,384,0,0.4163,1
2009,385,0,0.4468,1
2009,386,0,0.4885,1
2009,387,0,0.5245,1
2009,388,0,0.5664,1
2009,389,0,0.6013,1
2009,390,0,0.6234,1
2009,391,0,0.6531,1
2009,392,0,0.6689,1
2009,393,0.007,0.6819,1
2009,394,0.061,0.6499,1
2009,395,0.152,0.5859,1
2009,396,0.235,0.5202,1
2009,397,0.258,0.5009,1
2009,398,0.199,0.5495,1
2009,399,0.086,0.6333,1
2009,400,0.012,0.735,1
2009,401,0,0.8405,1
2009,402,0,0.92,1
2009,403,0,0.9558,1
2009,404,0,0.9541,1
2009,405,0,0.9157,1
2009,406,0,0.8707,1
2009,407,0,0.823,1
2009,408,0,0.7787,1
2009,409,0,0.7366,1
2009,410,0,0.6947,1
2009,411,0,0.6395,1
2009,412,0,0.6087,1
2009,413,0,0.5991,1
2009,414,0,0.5764,1
2009,415,0,0.5566,1
2009,416,0,0.5311,1
2009,417,0.004,0.5059,1
2009,418,0.033,0.4915,1
2009,419,0.08,0.491,1
2009,420,0.137,0.5356,1
2009,421,0.154,0.5948,1
2009,422,0.125,0.649,1
2009,423,0.07,0.6668,1
2009,424,0.016,0.6567,1
2009,425,0,0.642,1
2009,426,0,0.6421,1
2009,427,0,0.6489,1
