Storage,Time,Scenario,Discharge,Charge,energy_level
BESS,61,2,2.83774257257975e-5,2.2335364143695955,122.7142714650418
BESS,61,30,1.2330198654768002e-6,9.830739529378864,144.70846485666686
BESS,61,6,2.7839538331084377e-7,1.1415156306126415,9.45174769374425
BESS,61,7,1.2045052144304632e-5,3.7855777042690026,149.59823278511706
BESS,61,9,4.954294385930123e-5,4.010912662993143,71.79212398141442
BESS,62,13,1.8774383363420843,4.1298264422225594e-5,82.84183917842047
BESS,62,15,8.203270414789722e-5,7.002361882142163,53.05841178916001
BESS,62,16,7.365327377793339,2.558286673922831e-5,5.4777247376267685e-5
BESS,62,19,3.899991401941144e-5,2.880115561588285,26.496710723900556
BESS,62,1,9.566662863994593e-6,8.616223069004417e-6,149.598024278317
BESS,62,22,5.386107670206947e-7,4.949128479053756e-7,149.5982316251526
BESS,62,24,5.457126952045869e-5,8.146197372349757,149.59820610206833
BESS,62,26,8.60189848861281,1.5659351933623122e-7,4.2805956254622765e-7
BESS,62,28,3.2413230055864674e-5,9.48304155942626,149.59823259035025
BESS,62,29,7.742318777012743e-5,0.3665298769240877,103.60497693869397
BESS,62,2,3.917936860406673e-5,0.04816994573818666,123.24555663074882
BESS,62,30,8.518892563422819e-6,0.4088534832028204,149.5982321401168
BESS,62,6,0.08525929718447497,1.7903629149533506e-7,8.15432591214185
BESS,62,7,0.6701958428105116,1.6147753108750018e-7,138.6711288807269
BESS,62,9,0.9551590587097849,2.654631780294836e-5,56.21924479815795
BESS,63,13,8.077624467790626e-5,8.955171247289732,148.75119715634528
BESS,63,15,3.0939699398118044e-5,3.567851761006995,105.5766516294543
BESS,63,16,3.955876254683793e-5,5.7214690879295516,52.637140399649816
BESS,63,19,2.603367803909163e-5,1.903085070107139,52.758860229237136
BESS,63,1,1.0808140396345275e-5,4.1119683034814523e-5,149.5982329353546
BESS,63,22,9.8307409555495,4.80270586707006e-8,3.115787747230256e-7
BESS,63,24,9.830740893256179,1.356293048713481e-7,10.685564667314033
BESS,63,26,1.377954028996601e-5,1.8156883882496904,13.363347143487806
BESS,63,28,6.420791543539121e-7,8.045334622710253e-7,149.59823301293684
BESS,63,29,4.417048054050686e-5,2.1147197011183465,132.7873886432491
BESS,63,2,4.354420958896442e-5,0.04216091532166408,123.67170445651573
BESS,63,30,1.2074002533830296e-6,1.466373996402406e-6,149.59823247016928
BESS,63,6,0.24265533095369388,2.088305248600008e-7,4.989258683452229
BESS,63,7,2.6912322780254865e-7,1.3196988741275797,149.59823292577602
BESS,63,9,8.865623484465381e-5,0.04847342771052485,56.48623992628414
BESS,64,13,4.7884900139427504e-5,0.06143538312443149,149.59822471139503
BESS,64,15,6.169955810980492e-5,5.981256196371449,149.59816071685157
BESS,64,16,2.6408474240977714e-5,4.156477067756234,109.99609336173626
BESS,64,19,4.33514102074642e-5,3.040967337511272,77.937645693948
BESS,64,1,5.944697316788509,1.0021965055654727e-7,52.67382154466006
BESS,64,22,6.613629569780853e-5,1.6562783938090113,15.237042661842358
BESS,64,24,0.2481338455883263,1.1946624138872296e-5,7.71886784815946
BESS,64,26,7.343932140945812e-6,4.038387991912415,69.0929816938551
BESS,64,28,9.175358319286973,5.497893093998678e-8,3.0501066224891204e-7
BESS,64,29,5.534831317086553e-5,1.381167579671043,148.03475678829804
BESS,64,2,3.3126744849021784e-5,1.4656929153483205,139.8525221539848
BESS,64,30,0.6416209795812909,1.5661064130686338e-7,138.43960904362945
BESS,64,6,0.35308613256609833,1.9275643996633133e-7,4.199504697504932e-7
BESS,64,7,8.601898429110399,6.009158218810868e-8,2.6057802898567023e-7
BESS,64,9,4.416449794130155e-5,1.976487712833376,72.85112614454286
BESS,65,13,9.297253522615488e-6,1.1984811427209318e-5,149.59823299424056
BESS,65,15,2.716069924948094e-5,3.55893308369288e-5,149.59820901212933
BESS,65,16,4.397398466395193e-5,4.782917120232137,149.59821693697359
BESS,65,19,2.5984483016414518e-5,4.4563962893781675,139.43549082731755
BESS,65,1,1.6703825371829496e-7,1.0425527135059656,61.30615637841958
BESS,65,22,4.1219635222546655e-5,3.204951284340457,62.41320870411263
BESS,65,24,9.294893901093875e-6,6.175153299799567,87.25470090554028
BESS,65,26,1.2030480256335329e-5,9.722870623133105,149.59823276391646
BESS,65,28,3.727859139078458e-8,9.830740977679103,108.53138021234545
BESS,65,29,0.00024005293749861708,0.11166616170225434,148.44464455493838
BESS,65,2,2.0181316316240266e-5,0.07550084985592152,141.3107379127202
BESS,65,30,3.1321717296517695e-7,1.3535134763171062,148.40146550569568
BESS,65,6,2.71096157988256e-5,3.241431035648771,71.57009047970665
BESS,65,7,3.0801885089681205e-7,1.3386708367253686e-6,9.228318738850215e-6
BESS,65,9,4.4177891972071136e-5,1.8595798722492645,88.24801531173667
BESS,66,13,9.175358343650668,7.701840206291518e-8,1.9322490987338345e-7
BESS,66,15,1.7234890517943272e-5,2.320747844631704e-5,149.598232567234
BESS,66,16,7.8890585982848105,5.206823516888746e-6,20.972333384320546
BESS,66,19,0.9313878057224321,6.8412437382857236e-6,81.73030074933634
BESS,66,1,0.1641342165950515,9.396764846561065e-8,58.45164964692681
BESS,66,22,8.249004867529443e-5,3.0536360519743444,84.88725274187271
BESS,66,24,3.4901914103288143,5.660427316713044e-6,3.542196192654807e-5
BESS,66,26,7.0717075958692694,1.5659638664334368e-7,26.612016010419282
BESS,66,28,3.006616235664386e-7,7.249544752006357,141.87928443754413
BESS,66,29,9.830738948197066,2.005513355757211e-6,20.21763693671371
BESS,66,2,9.919080153077782e-5,2.252153803516848,149.59823264530775
BESS,66,30,0.23846740926219212,1.7899622765942476e-7,144.77261593109026
BESS,66,6,0.00011638553222988266,0.034405523684164156,71.85382966169173
BESS,66,7,6.901346940492899e-7,8.197552109280179e-7,9.25651745119945e-6
BESS,66,9,3.6062513708285445e-5,3.1667029456569495,120.29461793955592
BESS,67,13,7.313052780559342e-5,4.343951976447494,35.967207150872945
BESS,67,15,9.830740987429925,3.703796556099373e-8,6.260909904188234e-7
BESS,67,16,1.607883159947958,6.516989443020128e-6,1.628908454605056e-5
BESS,67,19,9.8307388865356,2.064613203772528e-6,6.9312138218049535
BESS,67,1,1.5032484283935181e-7,8.915149289577215,140.47102147707153
BESS,67,22,4.4215877234606796e-5,1.0662349110169178,99.60057360286432
BESS,67,24,3.588257919220558e-5,9.656020548942033,79.95153454197074
BESS,67,26,0.7200898954165248,7.369492659859442e-8,4.415076308160382e-7
BESS,67,28,1.3895483938445332,8.35193681891328e-8,114.69246941931878
BESS,67,29,2.2539386422652037e-5,3.0690666303393366,102.09962415350827
BESS,67,2,9.830740997675932,2.9206660620638764e-8,10.685588462242132
BESS,67,30,2.5388192661946016,5.0110635149729264e-8,6.793310290820715
BESS,67,6,6.464204410309862e-5,0.02725079679904831,72.22883671114735
BESS,67,7,2.724074819976524e-7,8.911661322148783e-8,4.78097447670742e-7
BESS,67,9,2.834648123893488e-5,2.237277638874878,149.1103225687671
BESS,68,13,5.149380277337675e-5,0.5581756397332449,42.642260172260755
BESS,68,15,2.2967237394339936e-6,4.516857396510065,149.59822772670586
BESS,68,16,3.851840925154636e-5,0.08187939887935473,0.8281752595460433
BESS,68,19,5.563018853798555e-5,5.3266060980547465,41.234133820103864
BESS,68,1,9.830740880337748,6.537614278015546e-8,1.5583793846324783
BESS,68,22,7.300007636402647e-5,6.038450519450865,149.59822977273566
BESS,68,24,2.116017474778606,2.409738155325806e-5,47.75157899570113
BESS,68,26,2.1688048350439747e-6,3.3405087506634534,67.61184569221162
BESS,68,28,5.299727951827401,2.505534367054004e-7,80.12902763828201
BESS,68,29,8.160547862013029e-5,4.008009608742782,131.59786526099754
BESS,68,2,3.608117452242178e-7,7.065738400541526,69.18989888904585
BESS,68,30,7.822014971555044e-8,9.830740926491005,79.1475628296193
BESS,68,6,0.00011649644132829227,0.0344142059773553,72.5126466975396
