year,hour_of_year,PV,Wind
2009,446.0,0.068,0.2567
2009,447.0,0.044,0.2671
2009,448.0,0.012,0.2842
2009,449.0,0.0,0.3057
2009,450.0,0.0,0.3176
2009,451.0,0.0,0.3288
2009,452.0,0.0,0.3367
2009,453.0,0.0,0.3401
2009,454.0,0.0,0.3388
2009,455.0,0.0,0.3457
2009,456.0,0.0,0.3853
2009,457.0,0.0,0.4397
2009,458.0,0.0,0.4364
2009,459.0,0.0,0.4203
2009,460.0,0.0,0.4234
2009,461.0,0.0,0.4092
2009,462.0,0.0,0.4052
2009,463.0,0.0,0.4106
2009,464.0,0.0,0.4167
2009,465.0,0.006,0.4142
2009,466.0,0.041,0.3969
2009,467.0,0.1,0.3882
2009,468.0,0.145,0.4009
2009,469.0,0.152,0.4181
2009,470.0,0.127,0.4281
2009,471.0,0.078,0.434
2009,472.0,0.021,0.45
2009,473.0,0.0,0.4719
2009,474.0,0.0,0.4779
2009,475.0,0.0,0.4629
2009,476.0,0.0,0.4411
2009,477.0,0.0,0.4218
2009,478.0,0.0,0.3929
2009,479.0,0.0,0.3678
2009,480.0,0.0,0.36
2009,481.0,0.0,0.3477
2009,482.0,0.0,0.321
2009,483.0,0.0,0.3005
2009,484.0,0.0,0.2808
2009,485.0,0.0,0.2666
2009,486.0,0.0,0.252
2009,487.0,0.0,0.2484
2009,488.0,0.0,0.2509
2009,489.0,0.014,0.2373
2009,490.0,0.093,0.2155
2009,491.0,0.194,0.1886
2009,492.0,0.248,0.1886
2009,493.0,0.249,0.2114
2009,494.0,0.195,0.2384
2009,495.0,0.104,0.2689
2009,496.0,0.022,0.3204
2009,497.0,0.0,0.3863
2009,498.0,0.0,0.4317
2009,499.0,0.0,0.4838
2009,500.0,0.0,0.5427
2009,501.0,0.0,0.608
2009,502.0,0.0,0.6775
2009,503.0,0.0,0.7114
2009,504.0,0.0,0.7427
2009,505.0,0.0,0.7534
2009,506.0,0.0,0.7627
2009,507.0,0.0,0.7644
2009,508.0,0.0,0.7627
2009,509.0,0.0,0.7492
2009,510.0,0.0,0.7209
2009,511.0,0.0,0.6832
2009,512.0,0.0,0.6707
2009,513.0,0.001,0.6328
2009,514.0,0.025,0.6117
2009,515.0,0.077,0.577
2009,516.0,0.118,0.5652
2009,517.0,0.137,0.5662
2009,518.0,0.131,0.5548
2009,519.0,0.088,0.5485
2009,520.0,0.023,0.5396
2009,521.0,0.0,0.534
2009,522.0,0.0,0.5337
2009,523.0,0.0,0.5184
2009,524.0,0.0,0.4894
2009,525.0,0.0,0.4628
2009,526.0,0.0,0.423
2009,527.0,0.0,0.3596
2009,528.0,0.0,0.3092
2009,529.0,0.0,0.2618
2009,530.0,0.0,0.2287
2009,531.0,0.0,0.2049
2009,532.0,0.0,0.1964
2009,533.0,0.0,0.1919
2009,534.0,0.0,0.1938
2009,535.0,0.0,0.2044
2009,536.0,0.0,0.2319
2009,537.0,0.005,0.2712
2009,538.0,0.041,0.3157
2009,539.0,0.096,0.3593
2009,540.0,0.144,0.403
2009,541.0,0.163,0.4112
2009,542.0,0.144,0.4002
2009,543.0,0.091,0.3968
2009,544.0,0.029,0.4137
2009,545.0,0.0,0.4276
2009,546.0,0.0,0.4128
2009,547.0,0.0,0.3632
2009,548.0,0.0,0.3346
2009,549.0,0.0,0.3183
2009,550.0,0.0,0.301
2009,551.0,0.0,0.2822
2009,552.0,0.0,0.2621
2009,553.0,0.0,0.251
2009,554.0,0.0,0.2414
2009,555.0,0.0,0.2361
2009,556.0,0.0,0.2417
2009,557.0,0.0,0.2517
2009,558.0,0.0,0.2614
2009,559.0,0.0,0.2712
2009,560.0,0.0,0.2823
2009,561.0,0.006,0.2849
2009,562.0,0.045,0.2586
2009,563.0,0.097,0.2457
2009,564.0,0.138,0.235
2009,565.0,0.159,0.2238
2009,566.0,0.153,0.2176
2009,567.0,0.11,0.2332
2009,568.0,0.041,0.2684
2009,569.0,0.0,0.2888
2009,570.0,0.0,0.2896
2009,571.0,0.0,0.2891
2009,572.0,0.0,0.2885
2009,573.0,0.0,0.2985
2009,574.0,0.0,0.3169
2009,575.0,0.0,0.3407
2009,576.0,0.0,0.3828
2009,577.0,0.0,0.4422
2009,578.0,0.0,0.5036
2009,579.0,0.0,0.5591
2009,580.0,0.0,0.6109
2009,581.0,0.0,0.6516
2009,582.0,0.0,0.6637
2009,583.0,0.0,0.6292
2009,584.0,0.0,0.5823
2009,585.0,0.007,0.5269
2009,586.0,0.035,0.5061
2009,587.0,0.072,0.4841
2009,588.0,0.103,0.4864
2009,589.0,0.115,0.4914
2009,590.0,0.098,0.4938
2009,591.0,0.064,0.4856
2009,592.0,0.021,0.4686
2009,593.0,0.0,0.4419
2009,594.0,0.0,0.4258
2009,595.0,0.0,0.4094
2009,596.0,0.0,0.3763
2009,597.0,0.0,0.348
2009,598.0,0.0,0.3062
2009,599.0,0.0,0.2642
2009,600.0,0.0,0.2351
2009,601.0,0.0,0.2027
2009,602.0,0.0,0.1754
2009,603.0,0.0,0.1557
2009,604.0,0.0,0.1417
2009,605.0,0.0,0.1283
2009,606.0,0.0,0.1095
2009,607.0,0.0,0.094
2009,608.0,0.0,0.0849
2009,609.0,0.009,0.0764
2009,610.0,0.05,0.0669
2009,611.0,0.096,0.0574
2009,612.0,0.139,0.0491
2009,613.0,0.158,0.0423
2009,614.0,0.151,0.0375
2009,615.0,0.096,0.0377
2009,616.0,0.027,0.0519
2009,617.0,0.0,0.0816
2009,618.0,0.0,0.1171
2009,619.0,0.0,0.1521
2009,620.0,0.0,0.1897
2009,621.0,0.0,0.2188
2009,622.0,0.0,0.2304
2009,623.0,0.0,0.2436
2009,624.0,0.0,0.267
2009,625.0,0.0,0.3012
2009,626.0,0.0,0.3379
2009,627.0,0.0,0.3528
2009,628.0,0.0,0.3578
2009,629.0,0.0,0.3508
2009,630.0,0.0,0.3408
2009,631.0,0.0,0.3221
2009,632.0,0.0,0.2701
2009,633.0,0.005,0.2216
2009,634.0,0.029,0.1855
2009,635.0,0.059,0.1561
2009,636.0,0.078,0.1476
2009,637.0,0.084,0.1423
2009,638.0,0.071,0.139
2009,639.0,0.041,0.1372
2009,640.0,0.011,0.1381
2009,641.0,0.0,0.1458
2009,642.0,0.0,0.1493
2009,643.0,0.0,0.1496
2009,644.0,0.0,0.1451
