O,T,G,value
10,751,PV,0.096
10,752,PV,0.2782
10,753,PV,0.1615
10,754,PV,0.075
10,755,PV,0.00625
10,756,PV,0
10,757,PV,0.002
10,758,PV,0.105
10,759,PV,0.221
10,760,PV,0.3854
10,761,PV,0.271
10,762,PV,0.137
10,763,PV,0.0115
10,764,PV,0
10,765,PV,0.003125
10,766,PV,0.118
10,767,PV,0.246
10,768,PV,0.398
10,769,PV,0.52025
10,770,PV,0.405
10,771,PV,0.303
10,772,PV,0.18
10,773,PV,0.0136
10,774,PV,0
10,775,PV,0
10,776,PV,0.014
10,777,PV,0.136
10,778,PV,0.229
10,779,PV,0.296
10,780,PV,0.326
10,781,PV,0.3215
10,782,PV,0.2665
10,783,PV,0.1455
10,784,PV,0.019
10,785,PV,0
10,786,PV,0
10,787,PV,0
10,788,PV,0.00375
10,789,PV,0.1095
10,790,PV,0.242
10,791,PV,0.3456
10,792,PV,0.233
10,793,PV,0.141
10,794,PV,0.0108
10,795,PV,0
10,796,PV,0
10,797,PV,0.0415
10,798,PV,0.174
10,799,PV,0.294
10,800,PV,0.426
10,801,PV,0.33
10,802,PV,0.231
10,803,PV,0.124
10,804,PV,0.0125
10,805,PV,0
10,806,PV,0
10,807,PV,0.055
10,808,PV,0.189
10,809,PV,0.289
10,810,PV,0.37625
10,811,PV,0.236
10,812,PV,0.0815
10,813,PV,0.000333333
10,814,PV,0
10,815,PV,0
10,816,PV,0
10,817,PV,0.032
10,818,PV,0.137
10,819,PV,0.279
10,820,PV,0.409
10,821,PV,0.5
10,822,PV,0.551333333
10,823,PV,0.459
10,824,PV,0.34
10,825,PV,0.205
10,826,PV,0.082
10,827,PV,0.00125
10,828,PV,0
10,829,PV,0
10,830,PV,0.028
10,831,PV,0.124
10,832,PV,0.249
10,833,PV,0.366
10,834,PV,0.4825
10,835,PV,0.367
10,836,PV,0.27
10,837,PV,0.17
10,838,PV,0.0156
10,839,PV,0
10,840,PV,0.024
10,841,PV,0.1315
10,842,PV,0.295
10,843,PV,0.398
10,844,PV,0.28
10,845,PV,0.147
10,846,PV,0.016
10,847,PV,0
10,848,PV,0.0035
10,849,PV,0.095
10,850,PV,0.181
10,851,PV,0.294666667
10,852,PV,0.2805
10,853,PV,0.206
10,854,PV,0.1035
10,855,PV,0.015
10,856,PV,0
10,857,PV,0
10,858,PV,0.003285714
10,859,PV,0.089
10,860,PV,0.169
10,861,PV,0.261
10,862,PV,0.343333333
10,863,PV,0.259333333
10,864,PV,0.145
10,865,PV,0.012
10,866,PV,0
10,867,PV,0
10,868,PV,0.025
10,869,PV,0.096
10,870,PV,0.204
10,871,PV,0.347
10,872,PV,0.466666667
10,873,PV,0.382
10,874,PV,0.255
10,875,PV,0.133
10,876,PV,0.055
10,877,PV,0.003
10,878,PV,0
10,879,PV,0.000125
10,880,PV,0.049
10,881,PV,0.16
10,882,PV,0.299
10,883,PV,0.409
10,884,PV,0.489
10,885,PV,0.376
10,886,PV,0.269
10,887,PV,0.157
10,888,PV,0.066
10,889,PV,0.002666667
10,890,PV,0
10,891,PV,0
10,892,PV,0
10,893,PV,0.039
10,894,PV,0.151
10,895,PV,0.254
10,896,PV,0.3435
10,897,PV,0.251
10,898,PV,0.104
10,899,PV,0.003
10,900,PV,0
10,901,PV,0.000142857
10,902,PV,0.0575
10,903,PV,0.175
10,904,PV,0.3015
10,905,PV,0.369333333
10,906,PV,0.274
10,907,PV,0.183
10,908,PV,0.084
10,909,PV,0.003666667
10,910,PV,0
10,911,PV,0
10,912,PV,0.0088
10,913,PV,0.135
10,914,PV,0.268
10,915,PV,0.392
10,916,PV,0.49125
10,917,PV,0.384
10,918,PV,0.279
10,919,PV,0.17
10,920,PV,0.082
10,921,PV,0.005
10,922,PV,0
10,923,PV,0
10,924,PV,0.000666667
10,925,PV,0.053
10,926,PV,0.148
10,927,PV,0.295
10,928,PV,0.384
10,929,PV,0.4635
10,930,PV,0.4065
10,931,PV,0.293
10,932,PV,0.184
10,933,PV,0.085
10,934,PV,0.008
10,935,PV,0
10,936,PV,0
10,937,PV,0.0004
10,938,PV,0.079
10,939,PV,0.246
10,940,PV,0.323
10,941,PV,0.332
10,942,PV,0.301
10,943,PV,0.26
10,944,PV,0.1775
10,945,PV,0.08
10,946,PV,0.005666667
10,947,PV,0
10,948,PV,0
10,949,PV,0
10,950,PV,0.015
10,951,PV,0.121
10,952,PV,0.193
10,953,PV,0.264
10,954,PV,0.31925
10,955,PV,0.2275
10,956,PV,0.134
10,957,PV,0.069
10,958,PV,0.004666667
10,959,PV,0
10,960,PV,0.000714286
10,961,PV,0.066
10,962,PV,0.165
10,963,PV,0.252
10,964,PV,0.33075
10,965,PV,0.277
10,966,PV,0.1625
10,967,PV,0.01925
10,968,PV,0
10,969,PV,0
10,970,PV,0.0015
10,971,PV,0.068
10,972,PV,0.163
10,973,PV,0.253
10,974,PV,0.354
10,975,PV,0.409
10,976,PV,0.3385
10,977,PV,0.231
