Time,Scenario,dfix,dflex,dfix_RA,dflex_RA,diff_dfix,diff_dflex
68,3,59.5929645,6.610426516,59.5929645,6.609612481,0,0.000814035
69,1,78.3594576,8.693902864,78.3594576,8.693790984,0,0.000111881
69,2,67.36561794,7.472453134,67.36561794,7.47216428,0,0.000288854
69,3,80.54813961,8.934317055,80.54813961,8.933985494,0,0.000331562
70,1,56.77276662,6.297615211,56.77276662,6.297123343,0,0.000491868
70,2,77.41774143,8.589452615,77.41774143,8.58939378,0,5.88351E-05
70,3,62.75955213,6.961627511,62.75955213,6.960854449,0,0.000773061
71,1,77.63684967,8.613750848,77.63684967,8.613617583,0,0.000133265
71,2,78.77378916,8.737550501,78.77378916,8.737550893,0,-3.9199E-07
71,3,78.91111422,8.755097089,78.91111422,8.754602125,0,0.000494964
72,1,54.52793541,6.048613318,54.52793541,6.048122818,0,0.0004905
72,2,58.99004154,6.54355247,58.99004154,6.543142746,0,0.000409724
72,3,55.02561273,6.10382314,55.02561273,6.102988174,0,0.000834967
73,1,64.38858129,7.144230537,64.38858129,7.143714008,0,0.000516529
73,2,74.9793582,8.318989264,74.9793582,8.318856682,0,0.000132582
73,3,76.4097597,8.477645046,76.4097597,8.47707409,0,0.000570957
74,1,61.42890258,6.814043225,61.42890258,6.813584679,0,0.000458546
74,2,65.74416471,7.2926324,65.74416471,7.292310672,0,0.000321728
74,3,53.16493806,5.897425314,53.16493806,5.896595812,0,0.000829503
75,1,64.4414985,7.150100773,64.4414985,7.149585358,0,0.000515415
75,2,73.64531322,8.171019004,73.64531322,8.170845051,0,0.000173952
75,3,71.2498122,7.905308963,71.2498122,7.904571099,0,0.000737864
76,1,66.23996544,7.347613739,66.23996544,7.347234093,0,0.000379646
76,2,64.78026147,7.185728581,64.78026147,7.185389383,0,0.000339197
76,3,53.99730909,5.991411128,53.99730909,5.990371546,0,0.001039582
77,1,56.09838861,6.222812231,56.09838861,6.222319576,0,0.000492655
77,2,73.11854943,8.112591092,73.11854943,8.112400834,0,0.000190258
77,3,72.71623179,8.067963352,72.71623179,8.067272514,0,0.000690838
78,1,79.34557167,8.80328471,79.34557167,8.803200806,0,8.39036E-05
78,2,61.43813622,6.816933899,61.43813622,6.816458917,0,0.000474982
78,3,57.01008312,6.32394334,57.01008312,6.323111689,0,0.000831651
79,1,81.33190695,9.021249555,81.33190695,9.021251185,0,-1.62981E-06
79,2,62.7599196,6.963565356,62.7599196,6.963111269,0,0.000454087
79,3,79.75381392,8.848571913,79.75381392,8.848100518,0,0.000471395
80,1,62.25939558,6.906143352,62.25939558,6.905695829,0,0.000447523
80,2,58.03195797,6.437283716,58.03195797,6.436869048,0,0.000414668
80,3,61.08470631,6.775872992,61.08470631,6.775076037,0,0.000796955
81,1,80.05000482,8.881422788,80.05000482,8.881357893,0,6.48944E-05
81,2,62.70309774,6.957261925,62.70309774,6.956806866,0,0.000455059
81,3,79.57017963,8.828202532,79.57017963,8.827726106,0,0.000476425
82,1,79.57828359,8.829097598,79.57828359,8.829020075,0,7.75229E-05
82,2,60.70182246,6.733412344,60.70182246,6.733016452,0,0.000395892
82,3,68.22875637,7.568164354,68.22875637,7.567503595,0,0.000660759
83,1,56.06962209,6.219622088,56.06962209,6.219129378,0,0.000492709
83,2,76.91103342,8.533248652,76.91103342,8.533174872,0,7.37799E-05
83,3,81.29165805,9.019157728,81.29165805,9.018725945,0,0.000431783
84,1,80.53326558,8.935028216,80.53326558,8.934975842,0,5.2374E-05
84,2,65.72776968,7.292789551,65.72776968,7.292394865,0,0.000394685
84,3,54.52378497,6.048158213,54.52378497,6.047323878,0,0.000834336
85,1,59.39117226,6.58804001,59.39117226,6.587561053,0,0.000478958
85,2,73.58116473,8.16173684,73.58116473,8.161601863,0,0.000134977
85,3,78.40470807,8.698925532,78.40470807,8.698415842,0,0.00050969
86,1,76.89422061,8.531378546,76.89422061,8.53122268,0,0.000155866
86,2,55.02866922,6.104161659,55.02866922,6.103744385,0,0.000417273
86,3,56.48101947,6.265258459,56.48101947,6.264425167,0,0.000833292
87,1,56.57411772,6.275581103,56.57411772,6.275088881,0,0.000492222
87,2,73.84742181,8.193436591,73.84742181,8.193268908,0,0.000167683
87,3,80.10866655,8.887933631,80.10866655,8.887471781,0,0.00046185
88,1,75.82168962,8.41241436,75.82168962,8.412225009,0,0.000189352
88,2,67.35631383,7.473437457,67.35631383,7.473081936,0,0.000355521
88,3,76.08973239,8.439901667,76.08973239,8.439455847,0,0.00044582
89,1,73.06192908,8.104143832,73.06192908,8.103932428,0,0.000211403
89,2,53.04969918,5.884642956,53.04969918,5.884235664,0,0.000407292
89,3,61.03750743,6.772486711,61.03750743,6.771496994,0,0.000989717
90,1,57.48242616,6.378081417,57.48242616,6.377468098,0,0.000613319
90,2,68.47135722,7.597122344,68.47135722,7.596795959,0,0.000326385
90,3,49.65523641,5.508079951,49.65523641,5.507284605,0,0.000795346
91,1,56.82729105,6.303654483,56.82729105,6.303163251,0,0.000491232
91,2,68.47751007,7.595754505,68.47751007,7.595490492,0,0.000264013
91,3,67.39862778,7.478127785,67.39862778,7.477275792,0,0.000851994
92,1,62.86700646,6.975440393,62.86700646,6.974893865,0,0.000546528
92,2,51.61859595,5.72747662,51.61859595,5.726974287,0,0.000502333
92,3,60.00693714,6.656340426,60.00693714,6.655530636,0,0.000809791
93,1,57.59526159,6.388835736,57.59526159,6.388346851,0,0.000488885
93,2,60.91088724,6.758442754,60.91088724,6.757960461,0,0.000482292
93,3,76.71721959,8.511748421,76.71721959,8.511187179,0,0.000561242
94,1,74.47642803,8.263199901,74.47642803,8.262967725,0,0.000232176
94,2,57.96687933,6.431832987,57.96687933,6.431321294,0,0.000511693
94,3,66.44124747,7.369937609,66.44124747,7.369234863,0,0.000702746
95,1,58.06735263,6.441200879,58.06735263,6.440713934,0,0.000486946
95,2,50.96840211,5.653761579,50.96840211,5.653375295,0,0.000386284
95,3,79.38027099,8.80713724,79.38027099,8.806655549,0,0.000481691
96,1,75.55130298,8.382423424,75.55130298,8.382225517,0,0.000197907
96,2,72.45920151,8.039456981,72.45920151,8.039246434,0,0.000210547
96,3,78.13225566,8.666400215,78.13225566,8.666009925,0,0.00039029
97,1,69.20041761,7.675911709,69.20041761,7.675599302,0,0.000312408
97,2,53.05622697,5.885367077,53.05622697,5.884959735,0,0.000407341
97,3,55.77959169,6.187456634,55.77959169,6.186621845,0,0.000834789
98,1,77.50689309,8.599335863,77.50689309,8.599198691,0,0.000137172
98,2,70.20060732,7.788934065,70.20060732,7.788656031,0,0.000278034
98,3,79.09737291,8.775757369,79.09737291,8.775267719,0,0.000489651
99,1,57.30197616,6.356314627,57.30197616,6.355824138,0,0.000490489
99,2,51.35093766,5.69619765,51.35093766,5.695806689,0,0.000390961
99,3,57.28483206,6.354418143,57.28483206,6.353587666,0,0.000830477
100,1,78.04269639,8.658767491,78.04269639,8.658646319,0,0.000121172
100,2,70.18161291,7.786827188,70.18161291,7.786548605,0,0.000278584
100,3,82.01826918,9.099758995,82.01826918,9.099344297,0,0.000414698
