Time,Scenario,dfix_RA,dflex_RA,dfix_RN,dflex_RN,diff_dfix,diff_dflex
5,26,75.2747139,8.242894392,75.2747139,8.241568726,0,0.001325666
5,27,59.62884156,6.529473712,59.62884156,6.528151429,0,0.001322283
5,28,64.70457786,7.085431925,64.70457786,7.08389256,0,0.001539365
5,29,49.82844501,5.455554168,49.82844501,5.454807234,0,0.000746934
5,2,54.98032851,6.108463919,54.98032851,6.107535871,0,0.000928047
5,30,57.74044401,6.322839142,57.74044401,6.321253611,0,0.00158553
5,3,64.69297074,7.187871024,64.69297074,7.187364031,0,0.000506993
5,4,70.28322363,7.803697044,70.28322363,7.800679986,0,0.003017058
5,5,78.56610786,8.729214208,78.56610786,8.728483226,0,0.000730983
5,6,75.00256092,8.333413415,75.00256092,8.331842737,0,0.001570678
5,7,63.24821964,7.023213037,63.24821964,7.02084295,0,0.002370087
5,8,61.83331191,6.77161802,61.83331191,6.770960078,0,0.000657942
5,9,65.75569461,7.302719553,65.75569461,7.296985304,0,0.005734249
6,10,62.648838,6.860383096,62.648838,6.859286832,0,0.001096264
6,11,57.16908216,6.260388615,57.16908216,6.25897092,0,0.001417695
6,12,71.53493706,7.833609703,71.53493706,7.831964006,0,0.001645697
6,13,67.59455193,7.507714777,67.59455193,7.506140932,0,0.001573844
6,14,64.58657265,7.072451681,64.58657265,7.070784158,0,0.001667524
6,15,76.50444672,8.377611943,76.50444672,8.375896541,0,0.001715403
6,16,68.17213089,7.568913585,68.17213089,7.565871778,0,0.003041807
6,17,61.51631634,6.736446652,61.51631634,6.734536806,0,0.001909846
6,18,83.73858174,9.169681739,83.73858174,9.167124049,0,0.00255769
6,19,54.94241898,6.100512966,54.94241898,6.093563763,0,0.006949203
6,1,77.56545276,8.618237473,77.56545276,8.617930828,0,0.000306644
6,20,75.98270367,8.320493971,75.98270367,8.318990107,0,0.001503864
6,21,72.34054677,7.921636589,72.34054677,7.920175544,0,0.001461045
6,22,66.12961383,7.241423194,66.12961383,7.240520635,0,0.000902559
6,23,76.20844581,8.458444225,76.20844581,8.453580439,0,0.004863786
6,24,78.71482989,8.619470686,78.71482989,8.61805379,0,0.001416896
6,25,73.70847576,8.186698697,73.70847576,8.181467471,0,0.005231226
6,26,52.22990187,5.718800264,52.22990187,5.717606219,0,0.001194046
6,27,81.9701784,8.975905136,81.9701784,8.974190447,0,0.001714689
6,28,82.92801294,9.080997524,82.92801294,9.079019117,0,0.001978407
6,29,59.88604671,6.55734766,59.88604671,6.555930352,0,0.001417307
6,2,76.78594233,8.531487162,76.78594233,8.5308863,0,0.000600862
6,30,80.97483627,8.867594434,80.97483627,8.865815633,0,0.001778801
6,3,50.91933519,5.657354902,50.91933519,5.656641227,0,0.000713675
6,4,51.83092395,5.750843615,51.83092395,5.746492285,0,0.00435133
6,5,54.25226235,6.027512174,54.25226235,6.026475025,0,0.001037149
6,6,52.28961741,5.809798901,52.28961741,5.808569129,0,0.001229772
6,7,54.70604802,6.077577024,54.70604802,6.076149077,0,0.001427946
6,8,79.2487206,8.798747603,79.2487206,8.795196552,0,0.003551051
6,9,61.59695517,6.745100342,61.59695517,6.744104861,0,0.000995481
7,10,58.47512229,6.403237928,58.47512229,6.401637234,0,0.001600694
7,11,71.53493706,7.833398023,71.53493706,7.831743868,0,0.001654154
7,12,57.44071656,6.290084854,57.44071656,6.289219846,0,0.000865007
7,13,76.89171285,8.420252319,76.89171285,8.418905486,0,0.001346833
7,14,80.9117406,8.860274719,80.9117406,8.8585027,0,0.001772019
7,15,58.67726004,6.425479707,58.67726004,6.424734042,0,0.000745665
7,16,82.37664558,9.143354388,82.37664558,9.138316964,0,0.005037424
7,17,80.48653155,8.813779723,80.48653155,8.811970108,0,0.001809615
7,18,60.17881968,6.589787866,60.17881968,6.588085892,0,0.001701975
7,19,74.58431841,7.129138668,74.58431841,7.128623085,0,0.000515583
7,1,55.87986467,6.207597459,55.87991455,6.205235807,-4.98732E-05,0.002361653
7,20,55.02240612,6.025062124,55.02240612,6.023395006,0,0.001667117
7,21,51.49467261,5.638824196,51.49467261,5.637322118,0,0.001502078
7,22,60.94207584,6.673361748,60.94207584,6.672597152,0,0.000764595
7,23,79.92437751,8.871682263,79.92437751,8.86703012,0,0.004652143
7,24,55.48160106,6.075119122,55.48160106,6.073837041,0,0.001282081
7,25,53.7530958,5.967360877,53.7530958,5.958589366,0,0.008771511
7,26,77.09818248,8.557897748,77.09818248,8.554914603,0,0.002983145
7,27,62.3621142,6.828645453,62.3621142,6.827267682,0,0.001377771
7,28,61.71360687,6.757853749,61.71360687,6.756177738,0,0.001676011
7,29,75.05190585,8.218357066,75.05190585,8.216873882,0,0.001483185
7,2,55.94149719,6.208818204,55.94149719,6.205136352,0,0.003681852
7,30,57.06642771,6.336896255,57.06642771,6.330559723,0,0.006336532
7,3,66.53963133,7.387671006,66.53963133,7.384651618,0,0.003019388
7,4,68.81573727,7.640401488,68.81573727,7.637220468,0,0.00318102
7,5,78.77991996,8.753039999,78.77991996,8.752437674,0,0.000602324
7,6,73.17586278,8.127135354,73.17586278,8.121285007,0,0.005850347
7,7,60.48107406,6.715825511,60.48107406,6.713512157,0,0.002313355
7,8,57.05747685,5.913112487,57.05747685,5.912556753,0,0.000555734
7,9,62.60204664,6.855276428,62.60204664,6.854270406,0,0.001006022
8,10,79.18052121,8.670685404,79.18052121,8.669081293,0,0.001604111
8,11,52.94172717,5.879435911,52.94172717,5.874149954,0,0.005285956
8,12,45.50312943,4.982649487,45.50312943,4.981347097,0,0.001302391
8,13,54.9624078,6.018150163,54.9624078,6.016874045,0,0.001276119
8,14,64.73362122,7.088754781,64.73362122,7.087952435,0,0.000802346
8,15,63.23874669,6.924965277,63.23874669,6.92379027,0,0.001175008
8,16,58.62060009,6.507265454,58.62060009,6.504007397,0,0.003258057
8,17,71.90190387,7.873712276,71.90190387,7.873142966,0,0.00056931
8,18,81.21608469,9.007376172,81.21608469,9.004153994,0,0.003222178
8,19,59.0170347,6.553746674,59.0170347,6.547615025,0,0.006131648
8,1,77.4509472,8.605376569,77.4509472,8.604775414,0,0.000601156
8,20,72.94068873,7.987362547,72.94068873,7.985948971,0,0.001413576
8,21,72.08716374,7.893879912,72.08716374,7.892421932,0,0.00145798
8,22,79.22325141,8.675124702,79.22325141,8.673646766,0,0.001477935
8,23,56.27404251,6.161802629,56.27404251,6.160500219,0,0.00130241
8,24,78.19027605,8.562042285,78.19027605,8.56063126,0,0.001411025
8,25,72.81787005,7.97393397,72.81787005,7.972904974,0,0.001028996
8,26,54.24944706,5.940190815,54.24944706,5.938942838,0,0.001247977
8,27,81.07526979,8.877975145,81.07526979,8.876475153,0,0.001499992
8,28,81.06424389,8.876941372,81.06424389,8.875243806,0,0.001697567
8,29,51.91150248,5.684051992,51.91150248,5.682889796,0,0.001162196
8,2,69.12365913,7.676354379,69.12365913,7.674144866,0,0.002209513
8,30,78.21279387,8.564729223,78.21279387,8.563134561,0,0.001594662
8,3,54.7685424,6.077013459,54.7685424,6.072538874,0,0.004474586
8,4,52.47477621,5.830408484,52.47477621,5.830165472,0,0.000243012
8,5,57.7056582,6.411277294,57.7056582,6.410348101,0,0.000929193
8,6,52.41868758,5.824140012,52.41868758,5.822910139,0,0.001229873
8,7,76.46859297,8.495565261,76.46859297,8.493750892,0,0.001814368
8,8,78.19027605,8.562047105,78.19027605,8.560635493,0,0.001411612
8,9,74.65359348,8.174839322,74.65359348,8.172811004,0,0.002028318
9,10,62.81292537,6.878242557,62.81292537,6.876476473,0,0.001766085
9,11,57.5398071,6.390719057,57.5398071,6.386108518,0,0.004610538
9,12,62.3833668,6.831342032,62.3833668,6.83066391,0,0.000678122
9,13,76.92699942,8.423725356,76.92699942,8.422381639,0,0.001343717
9,14,74.42999712,8.150385475,74.42999712,8.148541485,0,0.001843989
9,15,77.01945948,8.553485146,77.01945948,8.546483005,0,0.007002142
9,16,75.23252262,8.352235025,75.23252262,8.348544547,0,0.003690478
9,17,67.00497561,7.337494136,67.00497561,7.33545235,0,0.002041786
9,18,73.07315064,8.116511369,73.07315064,8.11196319,0,0.004548179
9,19,76.18126005,8.459831003,76.18126005,8.452151315,0,0.007679689
9,1,53.61515532,5.956778164,53.61515532,5.95585015,0,0.000928014
9,20,55.56535695,6.084593133,55.56535695,6.083011097,0,0.001582035
9,21,51.84287262,5.676995373,51.84287262,5.6755597,0,0.001435674
9,22,56.16566856,6.150049693,56.16566856,6.14877225,0,0.001277442
9,23,78.69247389,8.620811866,78.69247389,8.619414204,0,0.001397662
9,24,56.27404251,6.161892831,56.27404251,6.160589528,0,0.001303303
9,25,83.62635741,9.157499745,83.62635741,9.155152337,0,0.002347408
9,26,77.98186638,8.539658382,77.98186638,8.538191834,0,0.001466548
9,27,58.2147063,6.374472702,58.2147063,6.373180505,0,0.001292197
9,28,62.38888011,6.831833276,62.38888011,6.830142207,0,0.001691069
9,29,77.09818248,8.442547779,77.09818248,8.441150548,0,0.001397232
9,2,77.47252164,8.598132732,77.47252164,8.592828282,0,0.005304449
9,30,56.14512768,6.148343025,56.14512768,6.146744386,0,0.001598639
9,3,80.49010167,8.94301761,80.49010167,8.942332669,0,0.00068494
9,4,72.29055096,8.025196821,72.29055096,8.021416611,0,0.003780211
9,5,80.87033241,8.985325412,80.87033241,8.984754981,0,0.000570431
9,6,72.87646401,8.09728771,72.87646401,8.096501895,0,0.000785815
9,7,57.59005599,6.393208623,57.59005599,6.390082742,0,0.003125882
9,8,56.27404251,4.528800786,56.27404251,4.528428637,0,0.000372149
9,9,72.56072709,7.945753373,72.56072709,7.944163688,0,0.001589685
10,10,75.71088189,8.290756954,75.71088189,8.289839726,0,0.000917228
10,11,50.7375819,5.6320451,50.7375819,5.622252882,0,0.009792217
10,12,74.21255928,3.346861553,74.21255928,3.34680893,0,5.26227E-05
10,13,56.07198702,6.139723457,56.07198702,6.13841492,0,0.001308537
10,14,62.01138231,6.790498527,62.01138231,6.78888165,0,0.001616876
10,15,63.18112464,6.920414248,63.18112464,6.918944488,0,0.00146976
10,16,55.20523473,6.045140988,55.20523473,6.04397226,0,0.001168728
10,17,71.34895908,7.924056045,71.34895908,7.916325116,0,0.007730929
10,18,61.010613,6.680920338,61.010613,6.679197535,0,0.001722803
10,19,68.90166018,7.649101107,68.90166018,7.638053869,0,0.011047238
10,1,77.26179717,8.584340114,77.26179717,8.583701844,0,0.00063827
10,20,73.31871573,8.028761928,73.31871573,8.027288384,0,0.001473544
10,21,60.40863414,6.61506425,60.40863414,6.614082298,0,0.000981952
10,22,78.59577429,8.726230959,78.59577429,8.723021281,0,0.003209679
10,23,54.39945303,5.956515286,54.39945303,5.95525681,0,0.001258476
10,24,80.25792345,8.788502506,80.25792345,8.7870099,0,0.001492606
10,25,60.38007237,6.611857521,60.38007237,6.610183965,0,0.001673555
10,26,55.25544762,6.132940564,55.25544762,6.129475898,0,0.003464666
10,27,73.00207773,7.993909383,73.00207773,7.992561794,0,0.001347589
10,28,81.12873663,8.883952366,81.12873663,8.882254556,0,0.00169781
10,29,54.24944706,5.940261981,54.24944706,5.939014702,0,0.00124728
10,2,55.39832568,6.148078524,55.39832568,6.144190748,0,0.003887776
10,30,76.82668209,8.412818573,76.82668209,8.411173176,0,0.001645397
10,3,55.69080561,6.181339717,55.69080561,6.177852286,0,0.003487431
10,4,54.26409123,6.028925641,54.26409123,6.028081593,0,0.000844047
10,5,57.79658034,6.421323932,57.79658034,6.420286326,0,0.001037606
10,6,61.2323946,6.802031639,61.2323946,6.799324955,0,0.002706684
10,7,74.84389704,8.309092616,74.84389704,8.30540761,0,0.003685006
10,8,79.67228985,8.724391836,79.67228985,8.722962931,0,0.001428905
10,9,74.05593084,8.223578401,74.05593084,8.215523684,0,0.008054717
11,10,68.83165656,7.537381618,68.83165656,7.535843528,0,0.00153809
11,11,66.26416896,7.256101544,66.26416896,7.254391693,0,0.001709851
11,12,54.10437057,6.00667841,54.10437057,6.000739211,0,0.005939199
11,13,77.30171154,8.582749226,77.30171154,8.57940079,0,0.003348436
11,14,82.30942044,9.013267779,82.30942044,9.011478677,0,0.001789102
11,15,77.48586252,8.485079684,77.48586252,8.483556506,0,0.001523178
11,16,73.21270635,8.127595712,73.21270635,8.123795111,0,0.003800601
11,17,57.37007637,6.371049007,57.37007637,6.363726943,0,0.007322063
11,18,81.12873663,9.010461264,81.12873663,9.004088781,0,0.006372484
11,19,60.01721307,6.623616287,60.01721307,6.622358651,0,0.001257636
11,1,55.9209924,6.213025594,55.9209924,6.212181917,0,0.000843676
11,20,59.62247361,6.458648126,59.62247361,6.458016308,0,0.000631818
11,21,63.07199721,6.906700439,63.07199721,6.905568296,0,0.001132143
11,22,56.36228913,6.171514215,56.36228913,6.170196425,0,0.00131779
