T,O,price_model,price
218,17,0.009620997,0.009620997
218,18,129.3477325,129.3477325
218,19,129.967402,129.967402
218,1,129.9943838,-129.9943838
218,20,0.022380812,0.022380812
218,21,129.9492631,129.9492631
218,22,3.86766712,3.86766712
218,23,129.9324533,129.9324533
218,24,0.009802335,0.009802335
218,25,130.0090612,130.0090612
218,26,129.8549756,129.8549756
218,27,129.935431,129.935431
218,28,0.00220038,0.00220038
218,29,130.0717663,130.0717663
218,2,0.010537522,-0.010537522
218,30,130.0533192,130.0533192
218,3,0.002054484,-0.002054484
218,4,129.7186575,-129.7186575
218,5,0.008894435,-0.008894435
218,6,129.9578643,-129.9578643
218,7,129.9398144,-129.9398144
218,8,130.0433389,130.0433389
218,9,0.049376823,0.049376823
219,10,0.004402965,0.004402965
219,11,130.0265651,130.0265651
219,12,130.037554,130.037554
219,13,129.9212641,129.9212641
219,14,0.015711959,0.015711959
219,15,127.8141299,127.8141299
219,16,129.9920153,129.9920153
219,17,0.049746156,0.049746156
219,18,130.0086292,130.0086292
219,19,129.9665897,129.9665897
219,1,0.180622836,-0.180622836
219,20,0.022727553,0.022727553
219,21,130.0009436,130.0009436
219,22,129.9425878,129.9425878
219,23,129.9361936,129.9361936
219,24,129.9603126,129.9603126
219,25,129.9830291,129.9830291
219,26,130.0226519,130.0226519
219,27,129.8898937,129.8898937
219,28,0.01564678,0.01564678
219,29,129.9100561,129.9100561
219,2,129.9743269,-129.9743269
219,30,0.759975631,0.759975631
219,3,0.001640687,-0.001640687
219,4,130.0169371,-130.0169371
219,5,0.012408304,-0.012408304
219,6,130.0121255,-130.0121255
219,7,130.013812,-130.013812
219,8,129.9080624,129.9080624
219,9,129.9769188,129.9769188
220,10,0.021040889,0.021040889
220,11,129.9142685,129.9142685
220,12,129.8535553,129.8535553
220,13,130.0600653,130.0600653
220,14,0.01121224,0.01121224
220,15,131.2699468,131.2699468
220,16,129.9807151,129.9807151
220,17,129.9817394,129.9817394
220,18,129.9807029,129.9807029
220,19,128.681912,128.681912
220,1,130.0256559,-130.0256559
220,20,0.007794772,0.007794772
220,21,130.0025266,130.0025266
220,22,129.9003599,129.9003599
220,23,129.8150279,129.8150279
220,24,129.5981768,129.5981768
220,25,130.0130982,130.0130982
220,26,0.059295046,0.059295046
220,27,0.025767736,0.025767736
220,28,0.00439737,0.00439737
220,29,130.0616682,130.0616682
220,2,0.058028446,-0.058028446
220,30,130.0767705,130.0767705
220,3,129.9831613,-129.9831613
220,4,129.967406,-129.967406
220,5,0.041829703,-0.041829703
220,6,0.592199967,-0.592199967
220,7,0.06204593,-0.06204593
220,8,130.0353022,130.0353022
220,9,0.015285771,0.015285771
221,10,0.01606102,0.01606102
221,11,130.0864554,130.0864554
221,12,130.027025,130.027025
221,13,0.160390826,0.160390826
221,14,0.629568217,0.629568217
221,15,128.4585627,128.4585627
221,16,0.061064418,0.061064418
221,17,129.8029176,129.8029176
221,18,130.0053465,130.0053465
221,19,129.9905244,129.9905244
221,1,129.8413011,-129.8413011
221,20,0.025030961,0.025030961
221,21,130.0006394,130.0006394
221,22,0.050230943,0.050230943
221,23,130.0438695,130.0438695
221,24,130.0214345,130.0214345
221,25,0.176009107,0.176009107
221,26,0.010512984,0.010512984
221,27,0.020653384,0.020653384
221,28,0.065580191,0.065580191
221,29,129.9283675,129.9283675
221,2,130.0224766,-130.0224766
221,30,129.8756489,129.8756489
221,3,130.00383,-130.00383
221,4,130.0086547,-130.0086547
221,5,0.099136101,-0.099136101
221,6,130.029629,-130.029629
221,7,129.9880949,-129.9880949
221,8,129.9361427,129.9361427
221,9,129.9977128,129.9977128
222,10,129.997766,129.997766
222,11,0.427422598,0.427422598
222,12,129.8576039,129.8576039
222,13,129.9878476,129.9878476
222,14,0.040199794,0.040199794
222,15,0.009457141,0.009457141
222,16,129.9146218,129.9146218
222,17,130.0885225,130.0885225
222,18,0.014432041,0.014432041
222,19,0.07836301,0.07836301
222,1,130.0825369,-130.0825369
222,20,0.002082204,0.002082204
222,21,0.034640291,0.034640291
222,22,129.9933278,129.9933278
222,23,129.9819368,129.9819368
222,24,129.9557882,129.9557882
222,25,1.478463792,1.478463792
222,26,0.048362854,0.048362854
222,27,0.068707305,0.068707305
222,28,0.027355093,0.027355093
222,29,130.0285536,130.0285536
222,2,0.05218581,-0.05218581
222,30,130.000044,130.000044
222,3,0.991515276,-0.991515276
222,4,0.196033747,-0.196033747
222,5,0.021004946,-0.021004946
222,6,129.9573284,-129.9573284
222,7,0.036201218,-0.036201218
222,8,130.0600075,130.0600075
222,9,128.4581572,128.4581572
223,10,129.9874928,129.9874928
223,11,130.0047224,130.0047224
223,12,130.0003079,130.0003079
223,13,0.013204461,0.013204461
223,14,129.9940389,129.9940389
223,15,0.027097723,0.027097723
223,16,0.022835964,0.022835964
223,17,129.9594039,129.9594039
223,18,0.003488129,0.003488129
223,19,130.0080411,130.0080411
223,1,129.8847653,-129.8847653
223,20,0.000255298,0.000255298
223,21,128.6989521,128.6989521
223,22,0.063245553,0.063245553
223,23,196.1541424,196.1541424
223,24,130.1207582,130.1207582
223,25,0.007076669,0.007076669
223,26,0.03242806,0.03242806
223,27,0.035723151,0.035723151
223,28,130.0041385,130.0041385
223,29,0.13084792,0.13084792
223,2,130.0028838,-130.0028838
223,30,0.069742708,0.069742708
223,3,129.9966431,-129.9966431
223,4,129.9800647,-129.9800647
223,5,0.007977234,-0.007977234
223,6,130.0146732,-130.0146732
223,7,1.031261436,-1.031261436
223,8,129.3903675,129.3903675
223,9,130.0155367,130.0155367
224,10,130.0085973,130.0085973
224,11,0.485564494,0.485564494
224,12,0.139674482,0.139674482
224,13,0.335522079,0.335522079
224,14,130.0178245,130.0178245
224,15,130.0050529,130.0050529
224,16,0.017945029,0.017945029
224,17,130.0107369,130.0107369
224,18,125.0227939,125.0227939
224,19,129.9892548,129.9892548
224,1,130.0341541,-130.0341541
224,20,0.002076819,0.002076819
224,21,0.007163767,0.007163767
224,22,129.9883908,129.9883908
224,23,19.66622318,19.66622318
224,24,129.828154,129.828154
224,25,0.028100886,0.028100886
224,26,0.152113712,0.152113712
224,27,130.0296623,130.0296623
224,28,0.029616367,0.029616367
224,29,130.0094198,130.0094198
224,2,0.074124462,-0.074124462
224,30,0.005791499,0.005791499
224,3,0.732377064,-0.732377064
224,4,0.035384838,-0.035384838
224,5,129.9735097,-129.9735097
224,6,129.9598448,-129.9598448
224,7,0.010317883,-0.010317883
224,8,0.012557628,0.012557628
224,9,129.7663428,129.7663428
225,10,129.9751191,129.9751191
225,11,129.9931212,129.9931212
225,12,130.0183981,130.0183981
225,13,129.9184888,129.9184888
225,14,129.9847911,129.9847911
225,15,129.9867796,129.9867796
225,16,0.01850172,0.01850172
225,17,129.9979515,129.9979515
225,18,0.008235831,0.008235831
225,19,130.0174382,130.0174382
225,1,129.9568006,-129.9568006
225,20,0.000969539,0.000969539
225,21,129.938557,129.938557
225,22,0.051014506,0.051014506
225,23,129.9823194,129.9823194
225,24,129.9522024,129.9522024
225,25,0.002980337,0.002980337
225,26,235.0287585,235.0287585
225,27,0.039133375,0.039133375
225,28,0.069405913,0.069405913
225,29,0.532487951,0.532487951
225,2,130.0489191,-130.0489191
225,30,129.9626007,129.9626007
225,3,130.0020874,-130.0020874
225,4,0.083218217,-0.083218217
225,5,129.9753877,-129.9753877
225,6,130.0075165,-130.0075165
225,7,0.026243519,-0.026243519
225,8,0.020116744,0.020116744
225,9,130.000164,130.000164
226,10,129.9983959,129.9983959
226,11,0.067131024,0.067131024
226,12,0.050077906,0.050077906
226,13,130.0321233,130.0321233
226,14,129.3970202,129.3970202
226,15,130.0026642,130.0026642
226,16,129.97889,129.97889
226,17,130.045488,130.045488
226,18,0.00274701,0.00274701
226,19,0.042189638,0.042189638
226,1,130.0217816,-130.0217816
226,20,0.062699523,0.062699523
226,21,129.993617,129.993617
226,22,130.0054246,130.0054246
226,23,0.196659115,0.196659115
226,24,0.034248309,0.034248309
226,25,0.01189082,0.01189082
226,26,2.371695635,2.371695635
226,27,129.9663128,129.9663128
226,28,0.003885369,0.003885369
226,29,129.972515,129.972515
226,2,129.9643795,-129.9643795
226,30,127.8650133,127.8650133
226,3,0.170222799,-0.170222799
226,4,0.011109808,-0.011109808
226,5,0.022176137,-0.022176137
226,6,0.018773783,-0.018773783
226,7,0.01426957,-0.01426957
226,8,0.10642603,0.10642603
226,9,129.9890379,129.9890379
227,10,0.029962958,0.029962958
227,11,129.9985359,129.9985359
227,12,129.9437096,129.9437096
227,13,129.9861688,129.9861688
227,14,0.006256468,0.006256468
227,15,129.9706082,129.9706082
227,16,0.066186688,0.066186688
227,17,0.028903246,0.028903246
227,18,0.001278535,0.001278535
227,19,0.058977454,0.058977454
227,1,129.8951563,-129.8951563
227,20,0.027382562,0.027382562
227,21,0.314494732,0.314494732
227,22,0.157355674,0.157355674
227,23,130.0507367,130.0507367
227,24,0.04751439,0.04751439
227,25,129.9887812,129.9887812
227,26,0.018376258,0.018376258
227,27,0.116439837,0.116439837
227,28,130.0008462,130.0008462
227,29,0.085619449,0.085619449
227,2,130.0165693,-130.0165693
227,30,130.0325444,130.0325444
227,3,129.7821685,-129.7821685
227,4,0.055653033,-0.055653033
227,5,129.9554615,-129.9554615
227,6,0.013464379,-0.013464379
227,7,130.0170315,-130.0170315
227,8,0.056182916,0.056182916
227,9,130.0086976,130.0086976
228,10,0.02013992,0.02013992
228,11,0.036069945,0.036069945
228,12,0.021936349,0.021936349
228,13,130.0246438,130.0246438
228,14,0.009841566,0.009841566
228,15,130.0102472,130.0102472
228,16,0.018663601,0.018663601
228,17,0.0028875,0.0028875
228,18,129.9852187,129.9852187
228,19,129.9868896,129.9868896
228,1,130.0545813,-130.0545813
228,20,130.0398435,130.0398435
228,21,130.0055478,130.0055478
228,22,129.9111231,129.9111231
228,23,129.9499293,129.9499293
228,24,0.006908852,0.006908852
228,25,0.055825158,0.055825158
228,26,0.023937558,0.023937558
228,27,130.0417359,130.0417359
228,28,129.9570585,129.9570585
228,29,372.6488357,372.6488357
228,2,129.9786339,-129.9786339
228,30,129.9333087,129.9333087
228,3,0.006125683,-0.006125683
228,4,0.016666363,-0.016666363
228,5,0.024825261,-0.024825261
228,6,0.004955347,-0.004955347
228,7,129.595498,-129.595498
228,8,0.05235747,0.05235747
228,9,129.9619736,129.9619736
229,10,0.011508073,0.011508073
229,11,129.9467289,129.9467289
229,12,129.9876075,129.9876075
229,13,129.8616212,129.8616212
229,14,130.0143223,130.0143223
229,15,129.9867871,129.9867871
229,16,0.126484927,0.126484927
229,17,130.0069761,130.0069761
229,18,130.0070224,130.0070224
229,19,130.0076067,130.0076067
229,1,129.8924996,-129.8924996
229,20,130.0004059,130.0004059
229,21,129.9904595,129.9904595
229,22,0.014815734,0.014815734
