T,O,price_1,price_2,price_3,
17,1,19.34828853,19.34828853,44,2
17,2,13.00721892,13.00721892,13.00721892,2
17,3,13.00985336,-13.00985336,-13.00985336,0
18,1,16.42449619,16.42449619,176,8
18,2,13.00724168,13.00724168,13.00724168,7
18,3,13.01002211,-13.01002211,-13.01002211,4
19,1,19.34829129,19.34829129,44,2
19,2,15.38800856,15.38800856,15.38800856,3
19,3,15.39760189,-15.39760189,-15.39760189,10
20,1,16.40974969,16.40974969,110,5
20,2,15.38266991,15.38266991,15.38266991,4
20,3,13.01010655,-13.01010655,-13.01010655,0
21,1,19.34829154,19.34829154,132,6
21,2,13.00724355,13.00724355,13.00724355,1
21,3,15.38161609,-15.38161609,-15.38161609,10
22,1,16.44901404,16.44901404,198,9
22,2,15.38518234,15.38518234,15.38518234,9
22,3,13.01003222,-13.01003222,-13.01003222,6
23,1,19.34829487,19.34829487,110,5
23,2,13.00724272,13.00724272,13.00724272,0
23,3,15.38161453,-15.38161453,-15.38161453,5
24,1,16.41428238,16.41428238,220,10
24,2,15.38115493,15.38115493,15.38115493,2
24,3,13.00998977,-13.00998977,-13.00998977,3
25,1,19.36137496,19.36137496,110,5
25,2,13.00723908,13.00723908,13.00723908,4
25,3,15.38161199,-15.38161199,-15.38161199,7
26,1,19.34883592,19.34883592,66,3
26,2,15.38115398,15.38115398,15.38115398,6
26,3,13.00984562,-13.00984562,-13.00984562,8
27,1,16.40785433,16.40785433,154,7
27,2,13.00774197,13.00774197,13.00774197,2
27,3,15.38160917,-15.38160917,-15.38160917,8
28,1,19.34829168,19.34829168,0,0
28,2,15.38115534,15.38115534,15.38115534,2
28,3,13.01004376,-13.01004376,-13.01004376,7
29,1,16.42945634,16.42945634,154,7
29,2,15.39630497,15.39630497,15.39630497,9
29,3,13.01012362,-13.01012362,-13.01012362,0
30,1,19.34829657,19.34829657,198,9
30,2,15.38115775,15.38115775,15.38115775,7
30,3,15.3820875,-15.3820875,-15.3820875,2
31,1,16.40999061,16.40999061,154,7
31,2,13.00701915,13.00701915,13.00701915,9
31,3,15.3976842,-15.3976842,-15.3976842,10
32,1,19.34829514,19.34829514,220,10
32,2,13.00705249,13.00705249,13.00705249,8
32,3,13.00975521,-13.00975521,-13.00975521,4
33,1,16.42308576,16.42308576,44,2
33,2,15.38060199,15.38060199,15.38060199,5
33,3,15.38151118,-15.38151118,-15.38151118,6
34,1,19.34889061,19.34889061,44,2
34,2,13.00680273,13.00680273,13.00680273,8
34,3,13.00968178,-13.00968178,-13.00968178,8
35,1,16.41908789,16.41908789,132,6
35,2,15.3827942,15.3827942,15.3827942,3
35,3,15.38654504,-15.38654504,-15.38654504,7
36,1,19.34829652,19.34829652,110,5
